event_id,market_key,outcome_name,bookmaker_key,bookmaker_title,price,median_price,pct_diff,point,snapshot,raw_path
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,draftkings,DraftKings,1.52,1.53,-0.006535947712418306,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,mybookieag,MyBookie.ag,1.52,1.53,-0.006535947712418306,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Cleveland Browns,mybookieag,MyBookie.ag,4.39,4.42,-0.006787330316742138,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Kansas City Chiefs,fanduel,FanDuel,1.45,1.46,-0.006849315068493157,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Kansas City Chiefs,bovada,Bovada,1.45,1.46,-0.006849315068493157,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Baltimore Ravens,betrivers,BetRivers,1.21,1.22,-0.008196721311475417,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Baltimore Ravens,fanatics,Fanatics,1.21,1.22,-0.008196721311475417,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
229a5e9ce60dcb344a8cc3c97121154e,h2h,Chicago Bears,betrivers,BetRivers,1.15,1.16,-0.008620689655172422,,20251116_2025,backtest/cache/event_props_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Seattle Seahawks,mybookieag,MyBookie.ag,2.46,2.49,-0.012048192771084437,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,betrivers,BetRivers,1.51,1.53,-0.013071895424836612,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,bovada,Bovada,1.51,1.53,-0.013071895424836612,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
96377d2fb55e3cef733cecccdecaed5f,h2h,Tampa Bay Buccaneers,draftkings,DraftKings,3.7,3.75,-0.013333333333333286,,20251116_2025,backtest/cache/event_props_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Kansas City Chiefs,mybookieag,MyBookie.ag,1.44,1.46,-0.013698630136986314,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,williamhill_us,Caesars,2.56,2.6,-0.015384615384615398,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Los Angeles Rams,betrivers,BetRivers,1.54,1.565,-0.015974440894568634,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
