event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,point,raw_price,decimal_price,snapshot_time,raw_saved_path
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,williamhill_us,Caesars,h2h,Carolina Panthers,,2.88,2.88,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,fanduel,FanDuel,h2h,Atlanta Falcons,,1.42,1.42,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,fanduel,FanDuel,h2h,Carolina Panthers,,2.82,2.82,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,mybookieag,MyBookie.ag,h2h,Atlanta Falcons,,1.35,1.35,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,mybookieag,MyBookie.ag,h2h,Carolina Panthers,,3.15,3.15,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,betrivers,BetRivers,h2h,Atlanta Falcons,,1.4,1.4,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,betrivers,BetRivers,h2h,Carolina Panthers,,2.7,2.7,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,fanatics,Fanatics,h2h,Atlanta Falcons,,1.4,1.4,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,fanatics,Fanatics,h2h,Carolina Panthers,,2.85,2.85,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,bovada,Bovada,h2h,Atlanta Falcons,,1.53,1.53,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16T18:03:15Z,Atlanta Falcons,Carolina Panthers,bovada,Bovada,h2h,Carolina Panthers,,2.45,2.45,20251116_2040,backtest/cache/event_props_full_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,draftkings,DraftKings,h2h,Arizona Cardinals,,2.6,2.6,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,draftkings,DraftKings,h2h,San Francisco 49ers,,1.52,1.52,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,betus,BetUS,h2h,Arizona Cardinals,,2.59,2.59,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,betus,BetUS,h2h,San Francisco 49ers,,1.54,1.54,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,williamhill_us,Caesars,h2h,Arizona Cardinals,,2.56,2.56,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,williamhill_us,Caesars,h2h,San Francisco 49ers,,1.53,1.53,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,fanduel,FanDuel,h2h,Arizona Cardinals,,2.6,2.6,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,fanduel,FanDuel,h2h,San Francisco 49ers,,1.53,1.53,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,mybookieag,MyBookie.ag,h2h,Arizona Cardinals,,2.55,2.55,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
91630b9c62640117918fa30d2a62d2db,2025-11-16T21:05:00Z,Arizona Cardinals,San Francisco 49ers,mybookieag,MyBookie.ag,h2h,San Francisco 49ers,,1.52,1.52,20251116_2040,backtest/cache/event_props_full_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2040.json
